"Anho","Mes","Dia","Especie","Tipo_Flota","Puerto","Longitud","Latitud","Captura","Capacidad_Bodega","Anzuelos","Embarcaciones"
2008,12,28,"caballa","industrial","ILO","721200W","184450S",31500,15,800,NA
2008,12,29,"caballa","industrial","ILO","714748W","180812S",19350,9,400,NA
2008,12,26,"caballa","industrial","LA PLANCHADA","734006W","171955S",1050,7,700,NA
2008,12,26,"caballa","industrial","ILO","734056W","170302S",49400,12,1000,NA
2008,12,28,"caballa","industrial","ILO","733300W","164800S",16000,10,1200,NA
2008,12,24,"caballa","industrial","PAITA","843000W","074000S",252000,15,1000,NA
2008,12,24,"caballa","industrial","PAITA","845000W","073500S",18309,8,900,NA
2008,12,27,"caballa","industrial","CHIMBOTE","794500W","111000S",258000,10,1600,NA
2008,12,25,"caballa","industrial","PUCUSANA","782306W","122920S",10500,15,1500,NA
2008,12,28,"caballa","industrial","LA PLANCHADA","734700W","170400S",34000,4,500,NA
2008,12,31,"caballa","industrial","MATARANI","724530W","173030S",30400,3,400,NA
2008,12,30,"caballa","industrial","MATARANI","723910W","174018S",6000,3,400,NA
2008,12,31,"caballa","industrial","MATARANI","723942W","173622S",9000,3,400,NA
2008,12,31,"caballa","industrial","MATARANI","723350W","173430S",5600,3,400,NA
2008,12,31,"caballa","industrial","MATARANI","723605W","173700S",38000,7,400,NA
2008,12,25,"caballa","industrial","PUCUSANA","781348W","131644S",189000,8,1500,NA
2008,12,28,"caballa","industrial","ILO","715330W","181400S",28800,5,600,NA
2008,12,27,"caballa","industrial","CHIMBOTE","795000W","110000S",302400,10,1800,NA
2008,12,28,"caballa","industrial","CHIMBOTE","794500W","104000S",42000,6,1084,NA
2008,12,26,"caballa","industrial","SALAVERRY","810000W","092400S",104000,20,1500,NA
2008,12,26,"caballa","industrial","CHIMBOTE","801000W","104000S",120000,13,2400,NA
2008,12,26,"caballa","industrial","CHIMBOTE","803500W","114500S",216000,14,2100,NA
2008,12,26,"caballa","industrial","CHIMBOTE","800000W","110000S",73500,18,2300,NA
2008,12,29,"caballa","industrial","CHIMBOTE","802000W","094000S",170500,8,2000,NA
2009,1,1,"caballa","industrial","MATARANI","723642W","173736S",35000,5,400,NA
2008,12,31,"caballa","industrial","MATARANI","724500W","172900S",15000,2,400,NA
2009,1,1,"caballa","industrial","LA PLANCHADA","730818W","171100S",54740,3,550,NA
2008,12,31,"caballa","industrial","MATARANI","730600W","173000S",6800,4,400,NA
2008,12,31,"caballa","industrial","LA PLANCHADA","734654W","170900S",36900,9,1200,NA
2008,12,29,"caballa","industrial","LA PLANCHADA","731600W","171900S",105600,5,700,NA
2009,1,1,"caballa","industrial","MATARANI","723328W","173312S",11100,3,400,NA
2008,12,28,"caballa","industrial","ILO","715230W","181030S",92000,4,600,NA
2009,1,1,"caballa","industrial","MATARANI","723000W","173300S",4800,4,400,NA
2009,1,1,"caballa","industrial","MATARANI","723000W","173300S",0,3,400,NA
2008,12,31,"caballa","industrial","MATARANI","730600W","173000S",32000,4,400,NA
2009,1,1,"caballa","industrial","MATARANI","723000W","173300S",11400,3,400,NA
2008,12,31,"caballa","industrial","MATARANI","723942W","173622S",30000,4,400,NA
2008,12,31,"caballa","industrial","MATARANI","730300W","172700S",94600,4,400,NA
2008,12,31,"caballa","industrial","LA PLANCHADA","734530W","170350S",34200,6,650,NA
2008,12,28,"caballa","industrial","ILO","723000W","173300S",28900,4,500,NA
2009,1,1,"caballa","industrial","MATARANI","723350W","173430S",1500,5,400,NA
2008,12,28,"caballa","industrial","ILO","722500W","172500S",82500,6,900,NA
2008,12,26,"caballa","industrial","ILO","740500W","164000S",31500,8,1000,NA
2008,12,26,"caballa","industrial","PUCUSANA","780202W","131230S",31500,10,1500,NA
2008,12,26,"caballa","industrial","PUCUSANA","775100W","132004S",177500,14,1500,NA
2008,12,27,"caballa","industrial","ILO","720524W","183642S",42000,8,850,NA
2008,12,31,"caballa","industrial","MORRO SAMA","705500W","182500S",66500,5,500,NA
2008,12,31,"caballa","industrial","MORRO SAMA","713300W","180800S",72000,6,600,NA
